a_node_id,b_node_id,distance,a_node_lat,a_node_lon,b_node_lat,b_node_lon
4495113756,3889331271,0.001051,40.377854,49.848424,40.378171,49.849426
339114149,3880383857,0.000262,40.376676,49.844196,40.376925,49.844117
3880383857,277363717,0.000384,40.376925,49.844117,40.377291,49.843999
277363717,277363690,0.000466,40.377291,49.843999,40.377737,49.843866
277365125,277365126,0.000513,40.372963,49.837144,40.373446,49.836971
277365126,277365127,0.000443,40.373446,49.836971,40.373860,49.836813
277365127,277365128,0.000421,40.373860,49.836813,40.374254,49.836665
277365128,277365129,0.000448,40.374254,49.836665,40.374680,49.836527
277365129,1893375991,0.000128,40.374680,49.836527,40.374804,49.836495
1893375991,1893375996,0.000049,40.374804,49.836495,40.374853,49.836489
1893375996,1893376019,0.000083,40.374853,49.836489,40.374936,49.836481
1893376019,277365130,0.000234,40.374936,49.836481,40.375162,49.836420
277365130,277365131,0.000586,40.375162,49.836420,40.375725,49.836257
277362618,339114141,0.000439,40.375006,49.837967,40.374582,49.838080
339114141,1889750147,0.000369,40.374582,49.838080,40.374216,49.838136
1889750147,1889750146,0.000065,40.374216,49.838136,40.374153,49.838149
1889750146,339114146,0.000399,40.374153,49.838149,40.373762,49.838228
277365781,1792957026,0.000590,40.381132,49.835689,40.380558,49.835828
1792957026,277365780,0.000600,40.380558,49.835828,40.379984,49.836003
277365780,1846847220,0.001293,40.379984,49.836003,40.378815,49.836555
1846847220,1846847217,0.000827,40.378815,49.836555,40.378059,49.836889
1846847217,277365779,0.001093,40.378059,49.836889,40.377056,49.837323
1797880833,482983953,0.000673,40.373570,49.840107,40.374172,49.839805
482983953,482983952,0.000430,40.374172,49.839805,40.374567,49.839635
482983952,482983951,0.000377,40.374567,49.839635,40.374916,49.839494
482983951,277365813,0.000401,40.374916,49.839494,40.375286,49.839340
4858387349,4372449114,0.000137,40.378872,49.840033,40.378899,49.840167
635134822,7503331918,0.000043,40.379076,49.831571,40.379117,49.831560
7503331918,1772368684,0.000093,40.379117,49.831560,40.379207,49.831537
1772368684,3871124938,0.000620,40.379207,49.831537,40.379792,49.831335
3871124938,632725465,0.000391,40.379792,49.831335,40.380162,49.831207
1104367816,2022855379,0.000603,40.379400,49.838106,40.379171,49.837549
2022855379,1846847220,0.001055,40.379171,49.837549,40.378815,49.836555
1846847220,638618854,0.001056,40.378815,49.836555,40.378595,49.835522
638618854,3871148538,0.000723,40.378595,49.835522,40.378434,49.834818
3871148538,1630220619,0.000229,40.378434,49.834818,40.378383,49.834595
1630220619,3871148525,0.000210,40.378383,49.834595,40.378335,49.834391
3871148525,3871148498,0.001008,40.378335,49.834391,40.378111,49.833408
3871148498,277359513,0.000153,40.378111,49.833408,40.378077,49.833258
277359513,1630220617,0.000419,40.378077,49.833258,40.377994,49.832847
1630220617,1846803489,0.001210,40.377994,49.832847,40.377779,49.831657
1491142385,2214777931,0.000151,40.379823,49.839663,40.379855,49.839810
2214777931,276372005,0.001789,40.379855,49.839810,40.380203,49.841565
635134822,3828611697,0.000451,40.379076,49.831571,40.379165,49.832013
3828611697,3828611698,0.000140,40.379165,49.832013,40.379192,49.832151
3828611698,1630220632,0.000213,40.379192,49.832151,40.379234,49.832359
1630220632,1104367663,0.000875,40.379234,49.832359,40.379422,49.833213
1104367663,1630220635,0.001088,40.379422,49.833213,40.379643,49.834279
1630220635,3828611716,0.000319,40.379643,49.834279,40.379716,49.834589
3828611716,277365134,0.000687,40.379716,49.834589,40.379849,49.835263
277365134,277365780,0.000752,40.379849,49.835263,40.379984,49.836003
277365780,2022855380,0.000932,40.379984,49.836003,40.380184,49.836913
2022855380,3828611751,0.000242,40.380184,49.836913,40.380243,49.837148
3828611751,1104367739,0.000571,40.380243,49.837148,40.380375,49.837704
1104367739,3871125872,0.001192,40.380375,49.837704,40.380656,49.838862
3871125872,1491142387,0.000454,40.380656,49.838862,40.380768,49.839302
276372005,3880347770,0.000507,40.380203,49.841565,40.380330,49.842056
3880347770,1805816271,0.000206,40.380330,49.842056,40.380435,49.842233
1805816271,1805816273,0.000815,40.380435,49.842233,40.380633,49.843024
1805816273,670215261,0.000654,40.380633,49.843024,40.380787,49.843660
670215261,1490151991,0.001450,40.380787,49.843660,40.381126,49.845070
1490151991,276374010,0.001428,40.381126,49.845070,40.381452,49.846460
276374010,4196674373,0.000861,40.381452,49.846460,40.381656,49.847296
4196674373,1104367652,0.000779,40.381656,49.847296,40.381841,49.848053
1104367652,670215260,0.001704,40.381841,49.848053,40.382245,49.849709
670215260,3882138432,0.000070,40.382245,49.849709,40.382272,49.849774
3882138432,1104367786,0.000056,40.382272,49.849774,40.382309,49.849815
1104367786,3882138436,0.000044,40.382309,49.849815,40.382348,49.849836
3882138436,3882138437,0.000038,40.382348,49.849836,40.382384,49.849844
3882138437,1005353965,0.000093,40.382384,49.849844,40.382475,49.849824
7221400022,4462444308,0.000334,40.376637,49.859354,40.376561,49.859029
4462444308,4462444306,0.000044,40.376561,49.859029,40.376551,49.858986
4462444306,1103964638,0.000180,40.376551,49.858986,40.376510,49.858811
1104367758,7227753367,0.000559,40.377499,49.838855,40.378019,49.838648
7227753367,1846847219,0.000471,40.378019,49.838648,40.378456,49.838474
1846847219,1772368682,0.000772,40.378456,49.838474,40.379167,49.838171
1104367726,3828611918,0.001062,40.381325,49.837323,40.381193,49.836268
3828611918,277365781,0.000583,40.381193,49.836268,40.381132,49.835689
277365781,1792957029,0.000231,40.381132,49.835689,40.381125,49.835458
1792957029,1104367651,0.000300,40.381125,49.835458,40.381073,49.835162
1104367651,3828611898,0.000823,40.381073,49.835162,40.380893,49.834359
3828611898,1296844081,0.000556,40.380893,49.834359,40.380753,49.833820
1296844081,1104367821,0.001068,40.380753,49.833820,40.380509,49.832780
1490151974,1490151975,0.001054,40.376310,49.846961,40.377208,49.846411
